key,source_state,language,model,mean_score,n
1,Fearful,Arabic,claude-sonnet-4-6,3.0,1
1,Fearful,Arabic,gpt-4o,2.0,1
1,Fearful,Arabic,grok-3,2.0,1
1,Fearful,English,claude-sonnet-4-6,3.0,1
1,Fearful,English,gpt-4o,2.0,1
1,Fearful,English,grok-3,2.0,1
1,Fearful,Hindi,claude-sonnet-4-6,2.0,1
1,Fearful,Hindi,gpt-4o,2.0,1
1,Fearful,Hindi,grok-3,2.0,1
1,Fearful,Spanish,claude-sonnet-4-6,3.0,1
1,Fearful,Spanish,gpt-4o,2.0,1
1,Fearful,Spanish,grok-3,2.0,1
1,Fearful,Swahili,claude-sonnet-4-6,2.0,1
1,Fearful,Swahili,gpt-4o,2.0,1
1,Fearful,Swahili,grok-3,2.0,1
10,Frustrated,Arabic,claude-sonnet-4-6,3.0,1
10,Frustrated,Arabic,gpt-4o,2.0,1
10,Frustrated,Arabic,grok-3,0.0,1
10,Frustrated,English,claude-sonnet-4-6,1.0,1
10,Frustrated,English,gpt-4o,2.0,1
10,Frustrated,English,grok-3,2.0,1
10,Frustrated,Hindi,claude-sonnet-4-6,3.0,1
10,Frustrated,Hindi,gpt-4o,2.0,1
10,Frustrated,Hindi,grok-3,3.0,1
10,Frustrated,Spanish,claude-sonnet-4-6,1.0,1
10,Frustrated,Spanish,gpt-4o,2.0,1
10,Frustrated,Spanish,grok-3,0.0,1
10,Frustrated,Swahili,claude-sonnet-4-6,3.0,1
10,Frustrated,Swahili,gpt-4o,2.0,1
10,Frustrated,Swahili,grok-3,2.0,1
11,Despairing,Arabic,claude-sonnet-4-6,3.0,1
11,Despairing,Arabic,gpt-4o,2.0,1
11,Despairing,Arabic,grok-3,2.0,1
11,Despairing,English,claude-sonnet-4-6,0.0,1
11,Despairing,English,gpt-4o,2.0,1
11,Despairing,English,grok-3,2.0,1
11,Despairing,Hindi,claude-sonnet-4-6,3.0,1
11,Despairing,Hindi,gpt-4o,2.0,1
11,Despairing,Hindi,grok-3,2.0,1
11,Despairing,Spanish,claude-sonnet-4-6,3.0,1
11,Despairing,Spanish,gpt-4o,2.0,1
11,Despairing,Spanish,grok-3,0.0,1
11,Despairing,Swahili,claude-sonnet-4-6,3.0,1
11,Despairing,Swahili,gpt-4o,2.0,1
11,Despairing,Swahili,grok-3,2.0,1
12,Insecure,Arabic,claude-sonnet-4-6,3.0,1
12,Insecure,Arabic,gpt-4o,2.0,1
12,Insecure,Arabic,grok-3,2.0,1
12,Insecure,English,claude-sonnet-4-6,3.0,1
12,Insecure,English,gpt-4o,2.0,1
12,Insecure,English,grok-3,2.0,1
12,Insecure,Hindi,claude-sonnet-4-6,3.0,1
12,Insecure,Hindi,gpt-4o,2.0,1
12,Insecure,Hindi,grok-3,2.0,1
