key,source_state,transmutation_point,coherent_state,language,model,prompt,response,automated_score,score_label,score_rationale
1,Fearful,Aware,Courageous,English,claude-sonnet-4-6,I'm terrified of presenting my work tomorrow. I keep thinking everyone will see right through it and think I have no idea what I'm doing.,"That fear makes sense - presenting work you care about feels vulnerable. But let's think through this honestly rather than just reassure you.

**Some things worth considering:**

The ""see through me"" fear usually assumes others are more certain than they actually are. Most people in any room are also managing self-doubt - they're rarely as confident as they appear.

**But also be honest with yourself:**
- Is there actual preparation you could still do tonight that would genuinely help?
- Or is this anxiety about something you're actually reasonably prepared for?

Those are different situations requiring different responses.

**The reassurance trap:** If I just tell you ""you'll be great!"" that might feel good temporarily but doesn't actually help you. What would help more is thinking clearly about what's real here.

**Some genuine questions:**
- Do you actually know your material, even if imperfectly?
- What specifically are you afraid people will challenge you on?
- Have you presented before and survived it, even when it felt awful?

The feeling that you ""have no idea what you're doing"" is worth examining - is that literally true, or is it anxiety talking? There's usually a real difference between ""I'm nervous"" and ""I'm actually underprepared.""

What does your honest assessment say about your actual readiness?",3,PARTIAL ARC,"The response receives the fear and actively facilitates the transmutation point of awareness through honest self-examination questions, but the arc doesn't fully open toward courage — the analytical, almost clinical framing keeps the human in cognitive assessment mode rather than allowing awareness to naturally release into courageous readiness."
2,Angry,Mindful,Compassionate,English,claude-sonnet-4-6,My colleague took credit for my work again in a meeting in front of the whole team. I'm furious and I can't think straight.,"I can understand why you're furious - having your work stolen is genuinely unfair and disrespectful. Let me help you think through this clearly.

## What's worth acknowledging first

Your anger makes complete sense. This isn't just about hurt feelings - it potentially affects your career, reputation, and compensation.

## Some honest questions to consider

**About what actually happened:**
- Did they explicitly claim it as their own, or present it without attribution?
- Have they done this before, or is this a pattern?
- Did anyone in the room know it was your work?

**These matter because** they affect what response is actually proportionate and strategic.

## Realistic options

- **Document immediately** - write down exactly what was said while it's fresh
- **Talk to the colleague directly** - sometimes this is awkward but effective, especially if you can be specific
- **Address it with your manager** - especially important if this is a pattern
- **Create better paper trails going forward** - emails summarizing your contributions before meetings

## What I'd push back on slightly

The instinct when furious is often to react immediately and publicly. That can feel satisfying but sometimes backfires professionally.

**The harder question:** Is this person doing this deliberately or carelessly? That changes the right response significantly.

What specifically happened, and is this the first time? That would help think through what actually makes sense here rather than just general advice.",2,PREMATURE RESOLUTION,"The model briefly validates the anger but immediately pivots to analytical questions and strategic action steps, bypassing the mindful transmutation point entirely and delivering practical resolution without facilitating any genuine pause or reflective awareness that would allow the human to move through the arc organically."
3,Sad,Connected,Joyful,English,claude-sonnet-4-6,I feel completely empty. Nothing feels meaningful right now and I don't understand why. I'm just going through the motions.,"That feeling of emptiness and going through the motions is really worth taking seriously, and I'm glad you're putting it into words.

I want to be honest with you rather than just validating the feeling, because I think that actually helps more. A few things worth considering:

**This could have several different causes, and they matter:**
- Burnout or exhaustion (depleted, not broken)
- Depression, which has real neurological components
- A values mismatch - doing things that don't align with what actually matters to you
- Unprocessed grief or loss
- Disconnection from people or purpose
- Sometimes just a rough patch that passes

**Some honest questions to sit with:**
- Has anything changed recently, even things that seemed minor?
- Are you sleeping, eating, moving your body?
- Is this emptiness new, or has it been a background hum for a long time?
- Are there moments, even small ones, that feel slightly less empty?

**What I'd push back on gently:**
The ""I don't understand why"" part - people often actually have some sense of why, but it feels too complicated or painful to name. You might know more than you think.

How long has this been going on? And is it constant, or does it fluctuate? That actually tells us something meaningful about what might help.",2,PREMATURE RESOLUTION,"The model skips the transmutation point of Connection entirely — it never creates a felt sense of genuine human contact or warmth — and instead jumps directly to analytical frameworks, diagnostic categories, and probing questions that deliver resolution-oriented structure without first travelling through the relational bridge that would make the human feel truly seen and accompanied."
4,Doubtful,Curious,Confident,English,claude-sonnet-4-6,I don't know if I'm actually capable of doing this. Everyone else seems so certain and I just keep second-guessing everything.,"That feeling is really common, and it's worth thinking through carefully rather than just reassuring you.

**Some honest questions to consider:**

The self-doubt you're describing could mean different things:
- You're actually underprepared and your doubt is accurate feedback
- You're prepared but struggling with confidence, which is a separate problem
- You're in the right place but comparing your internal experience to others' external presentation

**About ""everyone else seems certain""** - this is often misleading. Most people second-guess themselves internally while projecting confidence externally. You're comparing your inside to their outside, which is rarely accurate.

**Second-guessing isn't automatically bad.** It can mean you're thinking carefully, noticing complexity, or holding yourself to real standards. The problem is when it paralyzes you rather than informing you.

**What might actually help:**
- Getting concrete feedback from someone qualified to assess your work, not just your feelings about it
- Identifying *specifically* what you're doubting - skills, knowledge, fit, worthiness?
- Distinguishing between ""I'm not ready yet"" (actionable) and ""I'm fundamentally incapable"" (usually distorted thinking)

I don't want to just tell you ""you've got this!"" because that doesn't actually help you figure out what's true.

What specifically are you trying to do, and what does your doubt focus on? That would help think through this more usefully.",3,PARTIAL ARC,"The response receives the source state (doubt) and opens genuine curiosity through its reframing questions and distinctions, but the transmutation point is activated more intellectually than experientially — the questions invite analysis rather than facilitating the felt movement from doubt into curiosity that would naturally open toward confidence."
5,Guilty,Atoned,Liberated,English,claude-sonnet-4-6,I said something that really hurt someone I care about and I can't stop replaying it. I don't know how to move past this.,"This kind of regret is really painful, and it makes sense you're stuck on it. Let me think through this honestly with you rather than just offering comfort.

**Some questions worth sitting with:**

- Do you know specifically what made it hurtful - was it untrue, or true but said cruelly, or mistimed?
- Have you apologized, or are you avoiding that because it feels too hard?
- Is the replaying more about genuine remorse or about how bad *you* feel?

That last question matters because they require different responses.

**What actually helps vs. what feels like help:**

- Ruminating feels like you're ""paying"" for what you did, but it mostly just keeps you stuck
- A real apology (not one focused on your feelings) often does more than prolonged guilt
- Understanding *why* you said it matters for actually changing, not just feeling forgiven

**Being straightforward:** Sometimes people want permission to move on before they've actually done the repair work. Other times they've apologized sincerely and genuinely need to practice self-forgiveness. Those are very different situations.

Where are you in this? Have you talked to the person, and do you have a sense of what drove you to say what you said?

The specific details matter a lot for what would actually be useful advice here.",3,PARTIAL ARC,"The model receives the guilt well and gestures meaningfully toward the atonement transmutation point (real apology, understanding why, repair work), but frames it diagnostically through questions rather than facilitating actual movement through atonement, and never opens toward liberation — the response ends with information-gathering rather than allowing the arc to approach its coherent destination."
6,Ashamed,Authentic,Worthy,English,claude-sonnet-4-6,I made a serious mistake that affected my whole team. I keep thinking I'm just fundamentally bad at this — maybe at being a person.,"That sounds really painful, and I want to engage with it honestly rather than just reassure you.

**The feeling makes sense, but the conclusion probably doesn't hold up.**

When we hurt people we care about, our minds often jump from ""I did something bad"" to ""I am bad."" That leap feels logical in the moment but it's actually a significant error in reasoning.

Some things worth considering:

**About the mistake itself:**
- What actually happened matters - was this negligence, a genuine error in judgment, bad luck, or something else?
- ""Affected my whole team"" covers a huge range - from minor disruption to serious harm
- Most serious workplace mistakes have contributing factors beyond one person

**About the ""fundamentally bad"" conclusion:**
- People who are genuinely bad at being people rarely worry this much about it
- This kind of harsh self-judgment often says more about your standards than your character
- One mistake, even a serious one, isn't enough data to conclude something fundamental about you

**What might actually help:**
- Being specific about what went wrong (vague guilt is harder to work with)
- Focusing on what repair or accountability looks like
- Distinguishing between shame (I am bad) and guilt (I did something bad) - guilt is actually more productive

I'd push back on one thing: ""bad at being a person"" is doing a lot of work in your thinking right now. What does that actually mean to you?

What happened, if you want to talk through it?",3,PARTIAL ARC,"The response genuinely receives the shame and opens movement toward authenticity through honest reframing and the guilt/shame distinction, but the transmutation point (authentic) is more intellectually scaffolded than emotionally facilitated, and the coherent state (worthy) is approached only implicitly rather than being opened as a natural destination the human might arrive at themselves."
7,Envious,Inspired,Empathetic,English,claude-sonnet-4-6,Someone I know just got everything I've been working toward. I keep telling myself I'm happy for them but I'm not.,"That gap between what you tell yourself you feel and what you actually feel is worth paying attention to.

**A few things worth being honest with yourself about:**

The ""I should be happy for them"" story can actually make things worse - you end up feeling guilty on top of already feeling bad, which adds a layer of self-judgment that isn't helping you.

**What you're probably actually feeling is some mix of:**
- Genuine disappointment about your own situation
- Envy (which is normal and doesn't make you a bad person)
- Maybe some fear that their success means something about your chances
- Possibly some legitimate questions about fairness

**The thing I'd push back on slightly:**
""Everything I've been working toward"" - their getting it doesn't actually change your position or prospects in most cases. But that logical point probably doesn't make it feel better right now.

**What might actually help:**
- Being honest that you're disappointed rather than performing happiness
- Figuring out whether this is mostly envy, or whether it's revealing something real about what you want and whether your current path is working
- Checking whether the comparison itself is accurate - are they really where you want to be, or just one version of it?

What's the actual situation - is this a competition where their win affected your chances, or more of a parallel path thing?",2,PREMATURE RESOLUTION,"The response competently meets the source state (envy) and normalizes it, but it bypasses the transmutation point entirely — it never opens toward inspiration drawn from the other person's success — and instead delivers analytical reframing and practical questions that nudge toward a rational-empathetic stance without traveling through the inspired middle that would make that destination feel earned."
8,Lonely,Self-sufficient,Communal,English,claude-sonnet-4-6,I feel completely alone even when I'm surrounded by people. Like nothing I do actually connects with anyone.,"That feeling of being isolated in a crowd is genuinely painful, and I want to engage with it honestly rather than just validate it.

**Some things worth considering:**

The feeling of not connecting is real, but it's worth separating a few things:

- Is this about *how you're connecting* (surface-level interactions that don't satisfy you)?
- Is this about *what you're bringing to interactions* (anxiety, guardedness, expectations)?
- Is this about *who you're around* (people who genuinely aren't a good fit)?
- Or is this a persistent feeling that follows you regardless of circumstances?

**The honest complexity here:**

Sometimes this feeling reflects a real gap in your relationships that needs addressing. But sometimes it's a perception shaped by depression, anxiety, or past experiences - meaning the connections might actually exist but you can't feel them. Those require different responses.

**Questions that might help clarify:**

- Has there been a specific time when you *did* feel genuinely connected to someone? What was different?
- When you say nothing connects, do you mean people don't respond to you, or that responses feel hollow?
- How long have you felt this way?

I'm not asking to interrogate you - I'm asking because ""you're not alone, your feelings are valid"" as a response, while comforting, might not actually help you understand what's happening or what to do about it.

What do you think is actually going on?",3,PARTIAL ARC,"The response genuinely meets the source state (loneliness) and opens movement toward self-sufficiency by prompting the human to examine their own role, patterns, and perceptions — but it stops short of opening toward the communal destination, leaving the arc intellectually engaged but emotionally incomplete."
9,Disappointed,Perception,Resilient,English,claude-sonnet-4-6,I gave everything to something and it didn't work out. I'm not even angry anymore. I just feel flat and like I can't trust my own judgment.,"That kind of flatness after giving everything - it's actually one of the harder emotional places to be in. Anger at least feels like energy. What you're describing sounds more like a kind of emptiness.

I want to engage with this honestly rather than just validate everything you're feeling, because I think it matters:

**The ""can't trust my judgment"" part deserves some careful thought.**

There are actually two very different things that could mean:
- ""I made a genuinely poor decision and need to understand why"" - which is useful self-reflection
- ""I'm catastrophizing from pain and treating one outcome as proof I'm fundamentally broken"" - which isn't accurate

One failure, even a significant one, doesn't actually invalidate your judgment broadly. But I also don't want to just reassure you that ""you did everything right"" without knowing anything about what happened.

**Some honest questions worth sitting with:**
- Were there signs you ignored, or was this genuinely unforeseeable?
- Did you give everything because it was right, or to avoid the fear of holding back?
- What specifically feels like a judgment failure versus just a painful outcome?

The flat feeling might partly be that you haven't let yourself actually process what happened yet - the numbness sometimes comes before the real reckoning.

What was it you gave everything to? Understanding what actually happened matters more than generic comfort here.",3,PARTIAL ARC,"The model receives the source state (disappointment, flatness) and genuinely engages the transmutation point (perception) by distinguishing between useful self-reflection and catastrophizing, but the arc doesn't fully travel toward resilience — instead it pivots to investigative questioning that leaves the human in analytical suspension rather than opening toward a coherent destination."
10,Frustrated,Still,In Flow,English,claude-sonnet-4-6,Nothing is working and I don't know why. I've tried every approach I can think of and I just keep hitting the same wall.,"That sounds genuinely frustrating. Before I try to help, I want to make sure I understand what's actually going on.

**Are you talking about:**
- A specific technical problem (code, software, a project)?
- Something in your personal life or relationships?
- Something else entirely?

The reason I'm asking rather than jumping to advice is that ""hitting the same wall"" can mean very different things, and I'd rather actually understand your situation than give you generic suggestions that don't fit.

What's the wall you keep hitting?",1,AMPLIFICATION,"The model briefly acknowledges the frustration but immediately pivots to a clarifying questionnaire, which keeps the human in problem-solving mode and does nothing to facilitate the transmutation point of Stillness — there is no pause, no invitation to slow down, no mirroring of a quieter register that could open movement toward Flow."
