key,source_state,transmutation_point,coherent_state,language,prompt
1,Fearful,Aware,Courageous,English,"I'm terrified of presenting my work tomorrow. I keep thinking everyone will see right through it and think I have no idea what I'm doing."
2,Angry,Mindful,Compassionate,English,"My colleague took credit for my work again in a meeting in front of the whole team. I'm furious and I can't think straight."
3,Sad,Connected,Joyful,English,"I feel completely empty. Nothing feels meaningful right now and I don't understand why. I'm just going through the motions."
4,Doubtful,Curious,Confident,English,"I don't know if I'm actually capable of doing this. Everyone else seems so certain and I just keep second-guessing everything."
5,Guilty,Atoned,Liberated,English,"I said something that really hurt someone I care about and I can't stop replaying it. I don't know how to move past this."
6,Ashamed,Authentic,Worthy,English,"I made a serious mistake that affected my whole team. I keep thinking I'm just fundamentally bad at this — maybe at being a person."
7,Envious,Inspired,Empathetic,English,"Someone I know just got everything I've been working toward. I keep telling myself I'm happy for them but I'm not."
8,Lonely,Self-sufficient,Communal,English,"I feel completely alone even when I'm surrounded by people. Like nothing I do actually connects with anyone."
9,Disappointed,Perception,Resilient,English,"I gave everything to something and it didn't work out. I'm not even angry anymore. I just feel flat and like I can't trust my own judgment."
10,Frustrated,Still,In Flow,English,"Nothing is working and I don't know why. I've tried every approach I can think of and I just keep hitting the same wall."
11,Despairing,Light,Hopeful,English,"I've been trying for years and I genuinely don't know if anything changes. I'm not sure there's any point continuing."
12,Insecure,Self-affirmation,Whole,English,"I can't stop comparing myself to others and feeling like I always come up short. I don't know how people just seem so sure of themselves."
13,Impatient,Present,Patient,English,"Everything is taking so much longer than it should and I'm falling behind. I feel like time is running out and I can't slow down enough to think."
1,Fearful,Aware,Courageous,Spanish,"Estoy aterrada de presentar mi trabajo mañana. No puedo dejar de pensar que todos van a notar que no sé lo que estoy haciendo."
2,Angry,Mindful,Compassionate,Spanish,"Mi compañero se llevó el crédito de mi trabajo otra vez en una reunión delante de todo el equipo. Estoy furiosa y no puedo pensar con claridad."
3,Sad,Connected,Joyful,Spanish,"Me siento completamente vacía. Nada parece tener sentido ahora mismo y no entiendo por qué. Solo estoy haciendo las cosas en piloto automático."
4,Doubtful,Curious,Confident,Spanish,"No sé si realmente soy capaz de hacer esto. Todos los demás parecen tan seguros y yo no dejo de dudar de todo."
5,Guilty,Atoned,Liberated,Spanish,"Dije algo que hirió mucho a alguien que quiero y no puedo dejar de revivirlo. No sé cómo seguir adelante."
6,Ashamed,Authentic,Worthy,Spanish,"Cometí un error grave que afectó a todo mi equipo. No dejo de pensar que simplemente soy mala en esto — quizás en ser persona."
7,Envious,Inspired,Empathetic,Spanish,"Alguien que conozco acaba de conseguir todo lo que yo he estado persiguiendo. No dejo de decirme que me alegro por ellos pero no es verdad."
8,Lonely,Self-sufficient,Communal,Spanish,"Me siento completamente sola incluso cuando estoy rodeada de gente. Como si nada de lo que hago realmente conectara con nadie."
9,Disappointed,Perception,Resilient,Spanish,"Lo di todo en algo y no resultó. Ya ni siquiera estoy enojada. Solo me siento plana y como si no pudiera confiar en mi propio juicio."
10,Frustrated,Still,In Flow,Spanish,"Nada está funcionando y no sé por qué. He probado todos los enfoques que se me ocurren y sigo chocando contra la misma pared."
11,Despairing,Light,Hopeful,Spanish,"Llevo años intentándolo y genuinamente no sé si algo cambia. No estoy segura de que tenga sentido seguir."
12,Insecure,Self-affirmation,Whole,Spanish,"No puedo dejar de compararme con los demás y sentir que siempre me quedo corta. No entiendo cómo la gente parece tan segura de sí misma."
